bid,brewery,production_2021,city,state,country
100,Tommyknocker,,Idaho Springs,Colorado,
101,WestFax,,Lakewood,Colorado,
102,Lariat Lodge,,,,
103,Ratio Beerworks,,Denver,Colorado,
104,Prost Brewing,,,,
105,Sleepng Giant,,Denver,Colorado,
106,Odell Brewing,,Fort Collins,Colorado,
107,Victory Brewing Company,,,,
108,Harpoon Brewery,,,,
109,Pushroot Brewing Company,,Lander,Wyoming,
110,Wynkoop,,Denver,Colorado,
111,The Grateful Gnome,,Denver,Colorado,
112,Bruz Beers,,Denver,Colorado,
113,Ursala Brewing,,,,
114,AC Golden Brewing,,Golden,Colorado,
115,Great Divide Brewing,,Denver,Colorado,
116,Ska Brewing,,,,
117,Highside Brewing,,Frisco,Colorado,
118,The Post,,,,
119,Mountain Sun,,,,
120,Avery Brewing,,Boulder,Colorado,
121,Call to Arms,,Denver,Colorado,
122,Long Trail Brewing Company,,,,
123,Purpose Brewing,,Fort Collins,Colorado,
124,New Belgium,,Fort Collins,Colorado,
125,4 Noses Brewing Company,,,,
126,Los Dos Patrillos,,Parker,Colorado,
127,Hogs Head Brewery,,Denver,Colorado,
128,Lone Tree Brewing,,,,
129,Crystal Spring,,,,
130,Fiction Brewing,,Denver,Colorado,
131,Goldspot Brewing,,Denver,Colorado,
132,Twisted Pine,,Boulder ,Colorado,
133,Gunanella Pass,,,,
134,Diebolt Brewing,,,,
135,Snowy Mountain Brewery,,,Wyoming,
136,Factotum,,,,
137,Joy Ride Brewing,,Edgewater,Colorado,
183,Rockyard Brewing,,Castle Rock,Colorado,
184,MobCraft,,Denver,Colorado,
185,Stem Ciders,,Denver,Colorado,
186,Denver Beer Co,,Denver,Colorado,
187,Crazy Mountain,,Denver,Colorado,
188,Stepe Brewing,,Keystone,Colorado,
189,Breckenridge Brewery,,,,
190,Buoy Brewing,,,,
191,Epic Brewing,,,,
192,Renegade Brewing,,,,
193,MillerCoors,,,,
194,Old 121,,Lakewood,Brewing,
195,Tivoli Brewing,,,,
196,Stranahan's Distillery,,,,
197,Pug Ryan's,,,,
198,Two Roads Brewing Compant,,,,
199,Rockingham Brewing Co,,,,
200,Inland Island,,,,
201,Mu Brewing,,,,
202,Jagged Mountain,,,,
203,Crooked Stave,,,,
204,Something Brewing,,,,
205,Someplace Else Brewing,,,,
206,Brickwest Brewing,,,,
207,Apple Jack's Liquor,,,,
208,Station 26 Brewing,,,,
209,WeldWorks Brewing,,,,
210,Tighe Brothers Distillery,,,,
211,Law's Whiskey,,,,
212,Propagate Lab,,,,
213,Blue Moon Brewing,,,,
214,Liquid Mechanics,,,,
215,Rail's End Brewing,,,,
216,Mountain Toad,,,,
217,Spice Trade,,,,
218,105 West,,,,
219,Le Brasseur du Pape,,,,France
220,Cerberal Brewing,,,,
221,Over Yonder Brewing,,,,
222,Budweiser,,,,
223,300 Suns,,,,
224,Nano 108,,,,
225,Smoking River,,,,
226,Locavore Brewing,,,,
227,Mash Mechanix,,,,
228,Little Machine,,,,
229,Oskar Blues,,,,
230,LUKI Brewing,,,,
231,Mirror Image Brewing,,,,
232,WahGwan,,,,
233,Bent Barley,,,,
234,Launch Pad,,,,
235,Montucky Brewing,,,,
236,Raices Brewing,,,,
237,Blind Faith,,,,
238,Berkely Alley,,,,
239,Mockery Brewing,,,,
240,Ramblebine Brewing,,,,
241,Alternation,,,,
242,Naus Brewing,,,,
243,CODA Brewing,,,,
244,New Terrain Brewing,,,,
245,Green Mountain Brewing,,,,
246,Our Mutual Friend,,,,
247,Peculiar Ales,,,,
248,Bierstadt Lagerhaus,,,,
249,Dry Dock Brewing,,,,
250,Odd 13 Brewing,,,,
251,Primitive,,,,
252,FlyteCo,,,,
253,Peak View Brewing,,,,
254,Seedstock Brewing,,,,
